species_canonical,gbif_matched_name,rank,status,accepted_name,family,match_type,confidence
Borassus flabelliformis,Borassus flabelliformis,SPECIES,SYNONYM,Borassus flabellifer,Arecaceae,EXACT,99
Boswellia,Boswellia,GENUS,ACCEPTED,,Burseraceae,HIGHERRANK,95
Boswellia serrata,Boswellia serrata,SPECIES,ACCEPTED,,Burseraceae,EXACT,99
Boswellia thurifera,Boswellia thurifera,SPECIES,SYNONYM,Boswellia serrata,Burseraceae,EXACT,99
Boswellia thurifera roxb,Boswellia thurifera,SPECIES,SYNONYM,Boswellia serrata,Burseraceae,HIGHERRANK,99
Bryonia grandis,Cucurbitaceae,FAMILY,ACCEPTED,,Cucurbitaceae,HIGHERRANK,99
Buchanania latifolia,Buchanania latifolia,SPECIES,SYNONYM,Buchanania cochinchinensis,Anacardiaceae,EXACT,100
Butea,Butea,GENUS,ACCEPTED,,Fabaceae,EXACT,95
Butea frondosa,Butea frondosa,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Cactus indicus,Cactus indicus,SPECIES,SYNONYM,Opuntia monacanthos,Cactaceae,EXACT,100
Cactus opuntia,Cactus opuntia,SPECIES,ACCEPTED,,Cactaceae,EXACT,99
Cadamba,Cadamba,GENUS,SYNONYM,,Rubiaceae,EXACT,96
Caesalpina bonducella,Caesalpinia bonducella,SPECIES,SYNONYM,Guilandina bonduc,Fabaceae,FUZZY,85
Caesalpina sappan,Caesalpinia sappan,SPECIES,SYNONYM,Biancaea sappan,Fabaceae,FUZZY,86
Caesalpinia bonducella,Caesalpinia bonducella,SPECIES,SYNONYM,Guilandina bonduc,Fabaceae,EXACT,99
Caesalpinia pulcherrima,Caesalpinia pulcherrima,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Caesalpinia sappan,Caesalpinia sappan,SPECIES,SYNONYM,Biancaea sappan,Fabaceae,EXACT,100
Cajanus indicus,Cajanus indicus,SPECIES,SYNONYM,Cajanus cajan,Fabaceae,EXACT,100
Cajanus indicus spreng,Cajanus indicus,SPECIES,SYNONYM,Cajanus cajan,Fabaceae,HIGHERRANK,100
Caladium,Caladium,GENUS,ACCEPTED,,Araceae,EXACT,96
Calamus,Calamus,GENUS,ACCEPTED,,Arecaceae,EXACT,95
Calamus fascicularis,Calamus fasciculatus,SPECIES,SYNONYM,Calamus viminalis,Arecaceae,FUZZY,96
Calamus fasciculatus,Calamus fasciculatus,SPECIES,SYNONYM,Calamus viminalis,Arecaceae,EXACT,100
Calamus rotang,Calamus rotang,SPECIES,ACCEPTED,,Arecaceae,EXACT,100
Calanius rotang,Calamus rotang,SPECIES,ACCEPTED,,Arecaceae,FUZZY,81
Calophyllum inophyllum,Calophyllum inophyllum,SPECIES,ACCEPTED,,Calophyllaceae,EXACT,99
Calosanthes,Calosanthes,GENUS,SYNONYM,,Bignoniaceae,EXACT,96
Calosanthes indica,Calosanthes indica,SPECIES,SYNONYM,Oroxylum indicum,Bignoniaceae,EXACT,100
Calotropis,Calotropis,GENUS,ACCEPTED,,Apocynaceae,HIGHERRANK,95
Calotropis gigantea,Calotropis gigantea,SPECIES,ACCEPTED,,Apocynaceae,EXACT,99
Calotropis gigantea alba,Calotropis gigantea,SPECIES,ACCEPTED,,Apocynaceae,HIGHERRANK,99
Campaka,Campana,GENUS,SYNONYM,,Bignoniaceae,FUZZY,84
Canna indica,Canna indica,SPECIES,ACCEPTED,,Cannaceae,EXACT,99
Cannabis sativa,Cannabis sativa,SPECIES,ACCEPTED,,Cannabaceae,EXACT,100
Canscora decussata,Canscora decussata,SPECIES,SYNONYM,Canscora alata,Gentianaceae,EXACT,100
Capparis aphylla,Capparis aphylla,SPECIES,SYNONYM,Capparis decidua,Capparaceae,EXACT,100
Capparis divaricata,Capparis divaricata,SPECIES,ACCEPTED,,Capparaceae,EXACT,100
Capparis sepiaria,Capparis sepiaria,SPECIES,ACCEPTED,,Capparaceae,EXACT,99
Capparis spinosa,Capparis spinosa,SPECIES,ACCEPTED,,Capparaceae,EXACT,100
Capparis trifoliata,Capparis trifoliata,SPECIES,SYNONYM,Crateva tapia,Capparaceae,EXACT,99
Capparis zeylanica,Capparis zeylanica,SPECIES,ACCEPTED,,Capparaceae,EXACT,99
Cardia latifolia,Cardia latifolia,SPECIES,SYNONYM,Veronica teucrium,Plantaginaceae,EXACT,100
Cardiospermum halicacabum,Cardiospermum halicacabum,SPECIES,ACCEPTED,,Sapindaceae,EXACT,100
Careya arborea,Careya arborea,SPECIES,ACCEPTED,,Lecythidaceae,EXACT,100
Carissa carandas,Carissa carandas,SPECIES,ACCEPTED,,Apocynaceae,EXACT,99
Carpopogon pruriens,Carpopogon pruriens,SPECIES,SYNONYM,Mucuna pruriens,Fabaceae,EXACT,100
Carpopogon pruriens roxb,Carpopogon pruriens,SPECIES,SYNONYM,Mucuna pruriens,Fabaceae,HIGHERRANK,100
Carthamus tinctoria,Carthamus tinctorius,SPECIES,ACCEPTED,,Asteraceae,FUZZY,98
Carthamus tinctorius,Carthamus tinctorius,SPECIES,ACCEPTED,,Asteraceae,EXACT,100
Carum carui,Carum carvi,SPECIES,ACCEPTED,,Apiaceae,FUZZY,96
Carum carvi,Carum carvi,SPECIES,ACCEPTED,,Apiaceae,EXACT,100
Caryota urens,Caryota urens,SPECIES,ACCEPTED,,Arecaceae,EXACT,99
Cassia,Cassia,GENUS,ACCEPTED,,Fabaceae,EXACT,96
Cassia alata,Cassia alata,SPECIES,SYNONYM,Senna alata,Fabaceae,EXACT,100
Cassia auriculata,Cassia auriculata,SPECIES,SYNONYM,Senna auriculata,Fabaceae,EXACT,100
Cassia esculenta,Cassia esculenta,SPECIES,SYNONYM,Senna sophera,Fabaceae,EXACT,100
Cassia fistula,Cassia fistula,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Cassia senna,Cassia senna,SPECIES,SYNONYM,Senna alexandrina,Fabaceae,EXACT,100
Cassia sophora,Cassia sophora,SPECIES,DOUBTFUL,,Fabaceae,EXACT,99
Cassia thora,Cassia tora,SPECIES,SYNONYM,Senna tora,Fabaceae,FUZZY,97
Cassia tora,Cassia tora,SPECIES,SYNONYM,Senna tora,Fabaceae,EXACT,100
Cassyta filiformis,Cassytha filiformis,SPECIES,ACCEPTED,,Lauraceae,FUZZY,86
Catechu,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Cathartocarpus,Cathartocarpus,GENUS,SYNONYM,,Fabaceae,EXACT,96
Cathartocarpus fistula,Cathartocarpus fistula,SPECIES,SYNONYM,Cassia fistula,Fabaceae,EXACT,100
Cavia alata,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Cedrela toona,Cedrela toona,SPECIES,ACCEPTED,,Meliaceae,EXACT,99
Celastrus,Celastrus,GENUS,ACCEPTED,,Celastraceae,EXACT,96
Celastrus paniculatus,Celastrus paniculatus,SPECIES,ACCEPTED,,Celastraceae,EXACT,100
Celosia cristata,Celosia cristata,SPECIES,SYNONYM,Celosia argentea,Amaranthaceae,EXACT,100
Celsia coromandelina,Celsia coromandelina,SPECIES,SYNONYM,Verbascum coromandelianum,Scrophulariaceae,EXACT,99
Celtis orientalis,Cannabaceae,FAMILY,ACCEPTED,,Cannabaceae,HIGHERRANK,99
Centropus pyropterus,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Cerasus puddum,Cerasus puddum,SPECIES,SYNONYM,Prunus cerasoides,Rosaceae,EXACT,99
Cesalpinia banducella,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Champaka,Champaca,GENUS,SYNONYM,,Magnoliaceae,FUZZY,84
Chenopodium,Chenopodium,GENUS,ACCEPTED,,Amaranthaceae,HIGHERRANK,95
Chenopodium album,Chenopodium album,SPECIES,ACCEPTED,,Amaranthaceae,EXACT,99
Chloroxylon swietenia,Chloroxylon swietenia,SPECIES,ACCEPTED,,Rutaceae,EXACT,100
Chrysanthemum indicum,Chrysanthemum indicum,SPECIES,ACCEPTED,,Asteraceae,EXACT,99
Chrysopogon acicularis,Chrysopogon acicularis,SPECIES,SYNONYM,Chrysopogon aciculatus,Poaceae,EXACT,100
Chrysopogon aciculatus,Chrysopogon aciculatus,SPECIES,ACCEPTED,,Poaceae,EXACT,100
Cicca disticha,Cicca disticha,SPECIES,SYNONYM,Phyllanthus acidus,Phyllanthaceae,EXACT,100
Cicer,Cicer,GENUS,ACCEPTED,,Fabaceae,EXACT,96
Cicer arietinum,Cicer arietinum,SPECIES,ACCEPTED,,Fabaceae,EXACT,100
Cicer lens,Cicer lens,SPECIES,SYNONYM,Vicia lens,Fabaceae,EXACT,100
Cissampelos hexandra,Cissampelos hexandra,SPECIES,SYNONYM,Stephania japonica,Menispermaceae,EXACT,100
Cissus pedata,Vitaceae,FAMILY,ACCEPTED,,Vitaceae,HIGHERRANK,99
Cissus quadrangularis,Cissus quadrangularis,SPECIES,ACCEPTED,,Vitaceae,EXACT,100
Citrillus colocynthis,Citrullus colocynthis,SPECIES,ACCEPTED,,Cucurbitaceae,FUZZY,89
Citrina,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Citrus acida,Citrus,GENUS,ACCEPTED,,Rutaceae,HIGHERRANK,99
Citrus auraritium,Citrus aurantium,SPECIES,ACCEPTED,,Rutaceae,FUZZY,93
Citrus decumana,Citrus decumana,SPECIES,SYNONYM,Citrus maxima,Rutaceae,EXACT,100
Citrus medica,Citrus medica,SPECIES,ACCEPTED,,Rutaceae,EXACT,99
Cleome,Cleome,GENUS,ACCEPTED,,Cleomaceae,EXACT,96
Cleome felina,Cleome felina,SPECIES,SYNONYM,Corynandra felina,Cleomaceae,EXACT,100
Cleome pentaphylla,Cleomaceae,FAMILY,ACCEPTED,,Cleomaceae,HIGHERRANK,99
Cleome viscosa,Cleome viscosa,SPECIES,SYNONYM,Arivela viscosa,Cleomaceae,EXACT,100
Clerodeesdrum phlomoides,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Clerodendron phlomoides,Clerodendron,GENUS,SYNONYM,,Lamiaceae,HIGHERRANK,96
Clerodendron siphonanthus,Clerodendron,GENUS,SYNONYM,,Lamiaceae,HIGHERRANK,96
Clerodendrum phlomoides,Clerodendrum phlomoides,SPECIES,SYNONYM,Clerodendrum phlomoides,Lamiaceae,EXACT,99
Clerodendrum siphonanthus,Clerodendrum siphonanthus,SPECIES,SYNONYM,Clerodendrum indicum,Lamiaceae,EXACT,99
Clerodendrum siphonantus,Clerodendrum siphonanthus,SPECIES,SYNONYM,Clerodendrum indicum,Lamiaceae,FUZZY,96
Clitoria ternatea,Clitoria ternatea,SPECIES,ACCEPTED,,Fabaceae,EXACT,100
Clypea hernandifolia,Clypea hernandiifolia,SPECIES,SYNONYM,Stephania japonica,Menispermaceae,FUZZY,97
Cnidium diffusum,Cnidium diffusum,SPECIES,SYNONYM,Psammogeton diffusum,Apiaceae,EXACT,100
Coccinia grandis,Coccinia grandis,SPECIES,ACCEPTED,,Cucurbitaceae,EXACT,100
Cocculus,Cocculus,GENUS,ACCEPTED,,Menispermaceae,EXACT,95
Cocculus cordifolius,Cocculus cordifolius,SPECIES,SYNONYM,Tinospora glabra,Menispermaceae,EXACT,100
Cocculus indicus,Cocculus indicus,SPECIES,ACCEPTED,,Menispermaceae,EXACT,99
Cocculus tomentosus,Menispermaceae,FAMILY,ACCEPTED,,Menispermaceae,HIGHERRANK,99
Coccus cordifolius,Cocculus cordifolius,SPECIES,SYNONYM,Tinospora glabra,Menispermaceae,FUZZY,80
Coelogyne ovalis,Coelogyne ovalis,SPECIES,ACCEPTED,,Orchidaceae,EXACT,100
Coix barbata,Coix barbata,SPECIES,SYNONYM,Polytoca gigantea,Poaceae,EXACT,100
Coleus aniboinicus,Coleus,GENUS,ACCEPTED,,Lamiaceae,HIGHERRANK,96
Coleus scutellarioides,Coleus scutellarioides,SPECIES,ACCEPTED,,Lamiaceae,EXACT,99
Colocasia antiquorum,Colocasia antiquorum,SPECIES,SYNONYM,Colocasia esculenta,Araceae,EXACT,100
Colocynth,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Coloquintida,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Colosanthes indica bl,Calosanthes indica,SPECIES,SYNONYM,Oroxylum indicum,Bignoniaceae,HIGHERRANK,88
Columba hariola,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Commelina bengalensis,Commelina benghalensis,SPECIES,ACCEPTED,,Commelinaceae,FUZZY,96
Commelina salicifolia,Commelina salicifolia,SPECIES,ACCEPTED,,Commelinaceae,EXACT,99
Convolvulus,Convolvulus,GENUS,ACCEPTED,,Convolvulaceae,EXACT,95
Convolvulus argenteus,Convolvulaceae,FAMILY,ACCEPTED,,Convolvulaceae,HIGHERRANK,99
Convolvulus paniculatus,Convolvulaceae,FAMILY,ACCEPTED,,Convolvulaceae,HIGHERRANK,99
Convolvulus repens,Convolvulus repens,SPECIES,ACCEPTED,,Convolvulaceae,EXACT,99
Convolvulus turpethum,Convolvulus turpethum,SPECIES,SYNONYM,Operculina turpethum,Convolvulaceae,EXACT,100
Conyza lacera,Conyza lacera,SPECIES,SYNONYM,Blumea lacera,Asteraceae,EXACT,100
Coraya,Coroya,GENUS,SYNONYM,,Fabaceae,FUZZY,84
Corchorus capsularis,Corchorus capsularis,SPECIES,ACCEPTED,,Malvaceae,EXACT,100
Corchorus olitorius,Corchorus olitorius,SPECIES,ACCEPTED,,Malvaceae,EXACT,100
Cordia latifolia,Cordia,GENUS,ACCEPTED,,Cordiaceae,HIGHERRANK,99
Cordia myxa,Cordia myxa,SPECIES,ACCEPTED,,Cordiaceae,EXACT,99
Cordia myxa latifolia,Cordia myxa,SPECIES,ACCEPTED,,Cordiaceae,HIGHERRANK,99
Cordifolia,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Coriandrum sativum,Coriandrum sativum,SPECIES,ACCEPTED,,Apiaceae,EXACT,100
Corydalis goveniana,Corydalis govaniana,SPECIES,ACCEPTED,,Papaveraceae,FUZZY,96
Corypha taliera,Corypha taliera,SPECIES,ACCEPTED,,Arecaceae,EXACT,100
Corypha umbraculifera,Corypha umbraculifera,SPECIES,ACCEPTED,,Arecaceae,EXACT,99
Coryza terebinthina,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Costus,Costus,GENUS,ACCEPTED,,Costaceae,EXACT,96
Costus arabicus,Costus arabicus,SPECIES,ACCEPTED,,Costaceae,EXACT,99
Costus speciosus,Costus speciosus,SPECIES,SYNONYM,Hellenia speciosa,Costaceae,EXACT,100
Cowach,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Crataea roxburghii,Crateva roxburghii,SPECIES,SYNONYM,Crateva adansonii,Capparaceae,FUZZY,80
Crataeva marmelos,Crateva marmelos,SPECIES,SYNONYM,Aegle marmelos,Rutaceae,FUZZY,88
Crataeva religiosa,Crateva religiosa,SPECIES,ACCEPTED,,Capparaceae,FUZZY,86
Crataeva roxburghii,Crateva roxburghii,SPECIES,SYNONYM,Crateva adansonii,Capparaceae,FUZZY,88
Crinum,Crinum,GENUS,ACCEPTED,,Amaryllidaceae,HIGHERRANK,95
Cristata,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Crocus,Crocus,GENUS,ACCEPTED,,Iridaceae,EXACT,96
Crocus sativus,Crocus sativus,SPECIES,ACCEPTED,,Iridaceae,EXACT,99
Crotolaria,Crotolaria,GENUS,DOUBTFUL,,Fabaceae,EXACT,92
Crotolaria juncea,Crotalaria juncea,SPECIES,ACCEPTED,,Fabaceae,FUZZY,88
Crotolaria verrucosa,Crotalaria verrucosa,SPECIES,ACCEPTED,,Fabaceae,FUZZY,89
Croton,Croton,GENUS,ACCEPTED,,Euphorbiaceae,EXACT,95
Croton jamalgota,Croton jamalgota,SPECIES,SYNONYM,Croton tiglium,Euphorbiaceae,EXACT,100
Croton polyandrum,Croton polyandrus,SPECIES,ACCEPTED,,Euphorbiaceae,FUZZY,95
Croton tamalgota,Croton,GENUS,ACCEPTED,,Euphorbiaceae,HIGHERRANK,95
Croton tiglium,Croton tiglium,SPECIES,ACCEPTED,,Euphorbiaceae,EXACT,100
Cuculus indicus,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Cuculus melanoleucus,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Cucumis,Cucumis,GENUS,ACCEPTED,,Cucurbitaceae,EXACT,96
Cucumis acutangulus,Cucurbitaceae,FAMILY,ACCEPTED,,Cucurbitaceae,HIGHERRANK,99
Cucumis colocynthis,Cucumis colocynthis,SPECIES,SYNONYM,Citrullus colocynthis,Cucurbitaceae,EXACT,99
Cucumis coloquintha,Cucumis colocynthis,SPECIES,SYNONYM,Citrullus colocynthis,Cucurbitaceae,FUZZY,93
Cucumis coloquinthida,Cucumis,GENUS,ACCEPTED,,Cucurbitaceae,HIGHERRANK,96
Cucumis coloquintida,Cucumis,GENUS,ACCEPTED,,Cucurbitaceae,HIGHERRANK,96
Cucumis maderaspatanus,Cucumis maderaspatanus,SPECIES,ACCEPTED,,Cucurbitaceae,EXACT,99
Cucumis momordica,Cucumis momordica,SPECIES,SYNONYM,Cucumis melo,Cucurbitaceae,EXACT,100
Cucumis sativus,Cucumis sativus,SPECIES,ACCEPTED,,Cucurbitaceae,EXACT,100
Cucumis usitatissimus,Cucumis,GENUS,ACCEPTED,,Cucurbitaceae,HIGHERRANK,96
Cucumis utilissimus,Cucumis utilissimus,SPECIES,SYNONYM,Cucumis melo,Cucurbitaceae,EXACT,100
Cucurbita,Cucurbita,GENUS,ACCEPTED,,Cucurbitaceae,HIGHERRANK,95
Cucurbita citrullus,Cucurbitaceae,FAMILY,ACCEPTED,,Cucurbitaceae,HIGHERRANK,99
Cucurbita hispida,Benincasa,GENUS,ACCEPTED,,Cucurbitaceae,HIGHERRANK,99
Cucurbita lagenaria,Cucurbita lagenaria,SPECIES,SYNONYM,Lagenaria siceraria,Cucurbitaceae,EXACT,100
Cucurbita pepo,Cucurbita pepo,SPECIES,ACCEPTED,,Cucurbitaceae,EXACT,99
Cucurbitaceous,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Cuminum cyminum,Cuminum cyminum,SPECIES,ACCEPTED,,Apiaceae,EXACT,99
Curculigo archioides,Curculigo,GENUS,ACCEPTED,,Hypoxidaceae,HIGHERRANK,96
Curculigo orchioides,Curculigo orchioides,SPECIES,ACCEPTED,,Hypoxidaceae,EXACT,100
Curcuma,Curcuma,GENUS,ACCEPTED,,Zingiberaceae,EXACT,96
Curcuma amada,Curcuma amada,SPECIES,ACCEPTED,,Zingiberaceae,EXACT,100
Curcuma amhaldi,Curcuma,GENUS,ACCEPTED,,Zingiberaceae,HIGHERRANK,96
Curcuma aromatica,Curcuma aromatica,SPECIES,ACCEPTED,,Zingiberaceae,EXACT,100
Curcuma cedoaria,Curcuma,GENUS,ACCEPTED,,Zingiberaceae,HIGHERRANK,96
Curcuma longa,Curcuma longa,SPECIES,ACCEPTED,,Zingiberaceae,EXACT,100
Curcuma reclinata,Curcuma reclinata,SPECIES,ACCEPTED,,Zingiberaceae,EXACT,100
Curcuma xanthorrhiza,Curcuma xanthorrhiza,SPECIES,ACCEPTED,,Zingiberaceae,EXACT,100
Curcuma zanthorrhizza,Curcuma zanthorrhiza,SPECIES,ACCEPTED,,Zingiberaceae,FUZZY,98
Curcuma zedoaria,Curcuma zedoaria,SPECIES,ACCEPTED,,Zingiberaceae,EXACT,99
Curcuma zerumbet,Curcuma,GENUS,ACCEPTED,,Zingiberaceae,HIGHERRANK,99
Curcuma zerumbet roxb,Curcuma,GENUS,ACCEPTED,,Zingiberaceae,HIGHERRANK,99
Curcunia zedoaria,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Cyanea,Cyanea,GENUS,ACCEPTED,,Campanulaceae,HIGHERRANK,95
Cymbidum thessaloides,Cymbidium tesselloides,SPECIES,SYNONYM,Vanda tessellata,Orchidaceae,FUZZY,85
Cyperus,Cyperus,GENUS,ACCEPTED,,Cyperaceae,EXACT,95
Cyperus hexastachyus communis,Cyperus,GENUS,ACCEPTED,,Cyperaceae,HIGHERRANK,99
Cyperus hexastychius communis nees,Cyperus,GENUS,ACCEPTED,,Cyperaceae,HIGHERRANK,95
Cyperus pertenius,Cyperus pertenuis,SPECIES,ACCEPTED,,Cyperaceae,FUZZY,95
Cyperus pertenuis,Cyperus pertenuis,SPECIES,ACCEPTED,,Cyperaceae,EXACT,99
Cyperus rotundus,Cyperus rotundus,SPECIES,ACCEPTED,,Cyperaceae,EXACT,99
Cypraea moneta,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Cytisus cajan,Cytisus cajan,SPECIES,SYNONYM,Cajanus cajan,Fabaceae,EXACT,100
Daemia extensa,Daemia extensa,SPECIES,SYNONYM,Pergularia daemia,Apocynaceae,EXACT,99
Dalbergia,Dalbergia,GENUS,ACCEPTED,,Fabaceae,EXACT,96
Dalbergia ougeinensis,Dalbergia ougeinensis,SPECIES,SYNONYM,Ougeinia oojeinensis,Fabaceae,EXACT,100
Dalbergia oujeinensis,Dalbergia ougeinensis,SPECIES,SYNONYM,Ougeinia oojeinensis,Fabaceae,FUZZY,96
Dalbergia sissoo,Dalbergia sissoo,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Dalbergia sisu,Dalbergia sissoo,SPECIES,ACCEPTED,,Fabaceae,FUZZY,95
Dalbergia ujjeinensis,Dalbergia,GENUS,ACCEPTED,,Fabaceae,HIGHERRANK,96
Datura,Datura,GENUS,ACCEPTED,,Solanaceae,EXACT,96
Datura alba,Datura alba,SPECIES,SYNONYM,Datura metel,Solanaceae,EXACT,99
Datura fastuosa,Datura fastuosa,SPECIES,SYNONYM,Datura metel,Solanaceae,EXACT,100
Datura metel,Datura metel,SPECIES,ACCEPTED,,Solanaceae,EXACT,99
Daucus carota,Daucus carota,SPECIES,ACCEPTED,,Apiaceae,EXACT,99
Debilis,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Delphinus,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Delphinus gangeticus,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Delphinus gatigeticus,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Deodar,Plantae,KINGDOM,ACCEPTED,,,HIGHERRANK,99
Desmochaeta atropurpurea,Desmochaeta atropurpurea,SPECIES,SYNONYM,Pupalia lappacea,Amaranthaceae,EXACT,100
Desmodium,Desmodium,GENUS,ACCEPTED,,Fabaceae,HIGHERRANK,95
Desmodium gangeticum,Desmodium gangeticum,SPECIES,ACCEPTED,,Fabaceae,EXACT,99
Dillenia indica,Dillenia indica,SPECIES,ACCEPTED,,Dilleniaceae,EXACT,99
Dillenia speciosa,Dilleniaceae,FAMILY,ACCEPTED,,Dilleniaceae,HIGHERRANK,99
Dioscorea,Dioscorea,GENUS,ACCEPTED,,Dioscoreaceae,EXACT,96
Dioscorea alata,Dioscorea alata,SPECIES,ACCEPTED,,Dioscoreaceae,EXACT,100
Dioscorea globosa,Dioscorea globosa,SPECIES,SYNONYM,Dioscorea alata,Dioscoreaceae,EXACT,100
Dioscorea purpurea,Dioscorea purpurea,SPECIES,SYNONYM,Dioscorea alata,Dioscoreaceae,EXACT,100
Diospyros,Diospyros,GENUS,ACCEPTED,,Ebenaceae,EXACT,96
Diospyros ebenaster,Diospyros ebenaster,SPECIES,DOUBTFUL,,Ebenaceae,EXACT,99
Diospyros embryopteris,Diospyros embryopteris,SPECIES,ACCEPTED,,Ebenaceae,EXACT,99
Diospyros glutinosa,Diospyros glutinosa,SPECIES,SYNONYM,Diospyros malabarica,Ebenaceae,EXACT,99
Diospyros tomentosa,Diospyros,GENUS,ACCEPTED,,Ebenaceae,HIGHERRANK,99
Dolichos,Dolichos,GENUS,ACCEPTED,,Fabaceae,EXACT,95
Dolichos biflorus,Macrotyloma,GENUS,ACCEPTED,,Fabaceae,HIGHERRANK,99
