id,stratum,k1_slp1,dcs2026_tokens,ls_citations,mw_gloss,n_dcs_occ_shown
H001,hedge,tApyaka,14,L.,"tApyaka n. = ˚pI-samudBava, L.",4
H002,hedge,asveda,17,L. | L.,"a-sveda mfn. not perspiring, L. || a-sveda m. suppressed perspiration, L.",4
H003,hedge,sUkzmElA,19,L.,"sUkzmElA f. small cardamoms, L.",4
H004,hedge,yaSomatI,22,L.,"yaSo—matI f. N. of the third lunar night, L.",4
H005,hedge,samuKa,78,L.,"sa-muKa mfn. ‘mouthy’, talkative, loquacious, eloquent, L.",4
H006,hedge,nigala,38,L.,"ni-gala m. n. = ni-gaqa above, L.",4
H007,hedge,amalA,10,L. | L. | L. | L.,"a-malA f. N. of the goddess Lakṣmī, L. || (amarA, q.v.) the umbilical cord, L. || the tree Emblica Officinalis Gaertn., L. || the plant Saptalā, L.",4
H008,hedge,aR,61,L. | L.,"aR cl. 1. P. aRati, ARa, aRitum, to sound, L. : cl. 4. Ā. aRyate, to breathe, (another form of √ an, q.v.; in this sense regarded in the Dhātu-pāṭha as a distinct root), L.",4
H009,hedge,kAntaloha,58,L.,"kAnta—loha n. the loadstone, L.",4
H010,hedge,GoRwA,10,L. | L.,"GoRwA f. a kind of jujube, L. || the betel-nut tree, L.",4
H011,hedge,matsyAkzI,48,L. | L. | L. | L.,"matsyAkzI f. = prec. m., L. || Hingcha Repens, L. || Solanum Indicum, L. || a kind of grass (= gaRqa-dUrvA), L.",4
H012,hedge,maRqUra,39,L.,"maRqUra n. rust of iron, L.",4
H013,hedge,kzIrakanda,40,L.,"kzIra—kanda m. Batatus paniculata, L.",4
H014,hedge,bIjavara,18,L.,"bIja—vara m. ‘best of grains’, Phaseolus Radiatus, L.",4
H015,hedge,pItadru,11,L.,"pIta—dru m. Pinus Longifolia or Curcuma Aromatica, L.",4
H016,hedge,nizkAsana,11,L.,"niz-˚kAsana n. driving away, L.",4
H017,hedge,SArNgezwA,13,L.,"SArNgezwA and SArN˚gozWA, v.l. for prec., L.",4
H018,hedge,kuddAla,21,L. | L.,"kuddAla m. id., L. || kuddAla m. n. a kind of spade or hoe, L.",4
H019,hedge,rasavara,18,L.,"rasa—vara m. = -nAyaka, L.",4
H020,hedge,bahuPalA,11,L.,"bahu—PalA f. N. of various plants (Solanum Indicum or another variety of Solanum; Glycine Debilis; a species of Convolvulus Turpethum; various kinds of cucurbitaceous plants, Flacourtia Cataphracta), ",4
H021,hedge,halinI,11,L. | L.,"halinI (inI), f. a number of ploughs, L. || Methonica Superba, L.",4
H022,hedge,AwarUza,15,L.,"AwarUza or Awaruza m. = aw˚, q.v., L.",4
H023,hedge,rasottama,18,L. | L. | L.,"rasottama m. quicksilver, L. || Phaseolus Mungo, L. || milk, L.",4
H024,hedge,kAntapAzARa,44,L.,"kAnta—pAzARa m. the iron-stone, load-stone, L.",4
H025,hedge,gajAsya,10,L.,"gajAsya m. = ˚ja-muKa, L.",4
H026,hedge,vajrakanda,43,L.,"vajra—kanda m. a species of bulbous plant, L.",4
H027,hedge,miSi,31,L.,"miSi or miSI, f. (only L.) Anethum Panmori and Anethum Sowa; Nardostachys Jatamansi (cf. mizikA); a species of sugarcane.",4
H028,hedge,SAlAvfka,21,L.,"SAlA—vfka m. ‘h˚-wolf’, a dog, cat, jackal &c., L. (cf. sAlAvfka/).",4
H029,hedge,puzpAYjana,20,L.,"puzpAYjana n. calx of brass employed as a collyrium, L.",4
H030,hedge,gaRqamAla,19,L.,"gaRqa—mAla m. inflammation of the glands of the neck, L.",4
H031,hedge,kalpAnta,19,L.,"kalpAnta m. the end of a Kalpa, dissolution of all things, L. (cf. pralaya)",4
H032,hedge,yAvaSUka,27,L.,"yAva—SUka m. (fr. yava-SUka) a kind of alkaline salt prepared from the ashes of burnt barley-straw, L.",4
H033,hedge,ganDASman,36,L.,"ganDASman m. = ˚Da-pAzARa, L.",4
H034,hedge,masI,15,L.,"{{Lbody=159098}} || masI f. the stalk of the Nyctanthes Arbor Tristis, L.",4
H035,hedge,puMnAga,57,L. | L. | L. | L. | L.,"puM—nAga m. ‘elephant among men’, any distinguished man, L. || a white elephant, L. || N. of a plant (Rottleria Tinctoria or Calophyllum Inophyllum), L. || a white lotus, L. || a nutmeg, L.",4
H036,hedge,sUraRa,49,L.,"sUraRa n. (also written SUr˚) Amorphophallus Campanulatus (cf. sUra-kanda), L.",4
H037,hedge,izwikA,50,L.,"izwikA f. = i/zwakA, q.v., L.",4
H038,hedge,avaGozaRa,17,L.,"ava-GozaRa n. proclaiming, L.",4
H039,hedge,PaYjI,21,L.,"PaYjI f. Clerodendrum Siphonantus, L.",4
H040,hedge,rizi,25,L.,"rizi m. = fzi, L.",4
H041,hedge,picumanda,20,L.,"picu—manda or picu—marda, m. the Nimb tree, Azadirachta Indica, L.",4
H042,hedge,naktamAla,37,L.,"naktamAla or naktamAlaka, m. Pongamia Glabra, L.",4
H043,hedge,karIzAgni,21,L.,"karIzAgni m. a fire of dry cow-dung (this substance is very generally used as fuel in Hindūstān), L.",4
H044,hedge,amaraRa,10,L.,"a-maraRa n. the not dying, immortality, L.",4
H045,hedge,kazAyaka,44,L.,"kazAyaka m. the shrub Acacia Catechu, L.",4
H046,hedge,ahimAra,13,L.,"ahi—mAra or ahi—mAraka, m. (= asi-meda, q.v.) the plant Vachellia Farnesiana, L.",4
H047,hedge,abAla,13,L.,"abAla m. cocoa-nut, L.",4
H048,hedge,AKukarRI,14,L.,"A-Ku—karRI f. id., L.",4
H049,hedge,alakta,10,L.,"alakta m. (said to be for arakta), red juice or lac (obtained from the red resin of certain trees and from the cochineal's red sap), L.",4
H050,hedge,dIrGapattrA,10,L. | L. | L.,"dIrGa—pattrA f. a kind of plant related to the Hemionitis Cordifolia, L. || Pandanus Odoratissimus, L. || = qoqIganDa-pattrA &c., L.",4
H051,hedge,sIsaka,86,L. | L.,"sIsaka m. n. lead, L. || sIsaka m. = SUla, L.",4
H052,hedge,keSI,17,L. | L. | L. | L. | L.,"ke/SI f. a lock of hair on the crown of the head, L. || the Indigo plant, L. || Carpopogon pruriens, L. || another plant (BUta-keSI), L. || N. of Durgā, L.",4
H053,hedge,harabIja,16,L.,"hara—bIja n. ‘Śiva's seed’, quicksilver, L.",4
H054,hedge,nimbU,70,L.,"nimbU and nimbUka, m. the common lime, Citrus Acida (v.l. nisbU), L.",4
H055,hedge,kumpa,18,L.,"kumpa mfn. crooked-armed, L.",4
H056,hedge,rAjarIti,14,L.,"rAja—rIti f. a kind of brass or bell-metal, L.",4
H057,hedge,SUrpaparRI,16,L.,"SUrpa—parRI f. a sort of bean, Phaseolus Trilobus, L.",4
H058,hedge,musalI,91,L. | L. | L. | L.,"mu/salI (I), f. Curculigo Orchioides, L. || Salvinia Cucullata, L. || a house-lizard, L. || an alligator, L.",4
H059,hedge,AvartakI,12,L.,"A-vartakI f. N. of a creeping plant, L.",4
H060,hedge,kuraRwa,10,L. | L.,"kuraRwa m. yellow amaranth (pItAmlAna), L. || the plant Marsilea quadrifolia, L.",4
C061,control,trijAtaka,12,Suśr. | Daś.,"tri—jA˚taka n. the 3 spices (mace, cardamoms, and cinnamon), Suśr.; Daś.",4
C062,control,AvraScana,11,TS. | ŚBr. | KātyŚr. | Nyāyam.,"A-vra/Scana n. the stump of a tree, TS.; ŚBr.; KātyŚr.; Nyāyam.",4
C063,control,vipAWa,12,Nīlak. | MBh. | R.,"vipAWa m. (cf. vi-pAwa under vi-√ paw) a kind of large arrow (described by, Nīlak. as viSAlo vESAKI-muKa-vat), MBh.; R.",4
C064,control,ayonija,42,MBh.,"a-yoni—ja mf(A)n. not born from the womb, not produced in the ordinary course of generation, generated equivocally, MBh. &c.",4
C065,control,svAMkfta,11,TS.,"svA/M-kfta mfn. made o˚'s own, seized, TS.",4
C066,control,jagatIpati,44,MBh. i | iii | R. i | BhP. v,"jagatI—pati m. ‘earth-lord’, a king, MBh. i, iii; R. i; BhP. v",4
C067,control,pradih,45,Suśr.,"pra-√ dih P. -degDi, to smear over, besmear, anoint, Suśr.",4
C068,control,Ahfti,11,VarBṛS.,"A-hfti f. bringing or drawing near, VarBṛS.",4
C069,control,vihas,99,MBh. | Kāv. | Kāv. | BhP. | Pañcat.,"vi-√ has P. -hasati, to laugh loudly, burst out laughing, MBh.; Kāv. &c.; to laugh at (acc., rarely gen.), Kāv.; BhP.; Pañcat.",4
C070,control,mahIBuj,40,Kāv. | Kathās.,"mahI—Buj m. ‘earth-enjoyer’, a king, Kāv.; Kathās.",4
C071,control,aSezeRa,39,MBh.,"a-SezeRa ind. id., MBh. &c.",4
C072,control,Sabdabrahman,29,MaitrUp. | Pur.,"Sabda—brahman n. ‘word-brahman’, the Veda considered as a revealed sound or word and identified with the Supreme, MaitrUp.; Pur.",4
C073,control,GozavatI,10,Kathās. xi f. | cxi.,"Goza—vatI f. a peculiar kind of lute, Kathās. xi f., cxi.",4
C074,control,aBisaMci,11,ŚBr.,"aBi-saM-√ 1. ci Ā. -cinute, (Opt. 1. sg. -cinvIya) to pile up (the sacrificial fire) for the benefit of (one's self, AtmA/nam), ŚBr.",4
C075,control,alajI,40,Suśr.,"alajI f. id., Suśr.",4
C076,control,karaMDama,14,MBh. | VP.,"kara—M-Dama m. N. of two princes, MBh.; VP. &c.",4
C077,control,yaTApraSnam,11,BhP. | Suśr.,"yaTA—praSnam ind. acc˚ to the questions, BhP.; Suśr.",4
C078,control,kusinDa,13,AV. | Kāṭh. | ŚBr.,"ku/sinDa n. a trunk, AV.; Kāṭh.; ŚBr.",4
C079,control,indranIla,78,Ragh. | Megh. | Śiś. | BhP.,"indra—nIla m. a sapphire, Ragh.; Megh.; Śiś.; BhP.",4
C080,control,dEDizavya,11,ŚrS.,"dEDizavya m. (fr. diDizU) prob. the son of a woman by her second husband, ŚrS.",4
