sample_id,stratum,L,k1,pc,record_excerpt,detected_blocks,gold_blocks_A,gold_blocks_B,adjudicated_blocks,false_positive_blocks,false_negative_blocks,notes
G5-001,root_verbal,233857,samavaskand,"1157,3","<L>233857<pc>1157,3<k1>samavaskand<k2>sam-ava-skand<e>1 <s>sam-ava-√ skand</s> ¦ <ab>Caus.</ab> <s>-skandayati</s>, to attack, assail, <ls>Mn. vii, 196</ls>; <div n=""to""/>to seize upon (<ab>acc.</ab>), <ls>Car.</ls><i...",,F01;F02;F05;F06;F08;F10;F12;F17,F01;F02;F06;F08;F10;F12;F17,F01;F02;F06;F08;F10;F12;F17,,,"F05=no [->B] only <ab>Caus.</ab> (derived-stem morphology, F08 territory) + <info verb=>; no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-002,botanical_bio,44451,karamBa,"255,1","<L>44451<pc>255,1<k1>karamBa<k2>karamBa/<e>1A ¦ of a son of <s1>Śakuni</s1> and father of <s1>Devarāta</s1>, <ls>Hariv.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F15;F17,F01;F10;F12;F15;F17,F01;F10;F12;F15;F17,,,
G5-003,botanical_bio,28868.1,indu,"1320,3","<L>28868.1<pc>1320,3<k1>indu<k2>indu<e>1A ¦ the weight of a silver <s1>Pala</s1>, <ls>L.</ls><info n=""sup""/> <LEND>",,F01;F10;F13;F15;F17,F01;F10;F12;F13;F15;F17,F01;F10;F13;F15;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-004,hedge_ls,181486,lamPa,"897,1","<L>181486<pc>897,1<k1>lamPa<k2>lamPa<e>1 <s>lamPa</s> ¦ <lex>m.</lex> a leap, spring, jump, <ls>L.</ls> (<ab>cf.</ab> <s>Jampa</s>). <info lex=""m""/> <LEND>",,F01;F02;F04;F09;F10;F13;F17,F01;F02;F04;F10;F12;F13;F16;F17,F01;F02;F04;F10;F13;F16;F17,,,"F09=no [->B] cf./see is a cross-reference marker (F16 per paper SS1), not editorial commentary | F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12') | F16=yes [->B] (cf. <s>Jampa</s>) textual cross-reference"
G5-005,hedge_ls,248247,sumaDura,"1230,3","<L>248247<pc>1230,3<k1>sumaDura<k2>su—maDura<e>3B <s>su—maDura</s> ¦ <lex>m.</lex> a kind of potherb, <ls>L.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F10;F12;F13;F17,F01;F02;F04;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-006,correction_edge,27214,Avarta,"156,1","<L>27214<pc>156,1<k1>Avarta<k2>A-varta/<e>2 <s>A-varta/</s> ¦ <lex>m.</lex> turning, winding, turning round, revolving, <ls>R.</ls>; <ls>ŚBr.</ls>; <ls>Sāh.</ls>; <ls>Suśr.</ls> <info n=""rev"" pc=""1320,2""/><info lex=""m...",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-007,kernel_common,162084,mARa,"806,2","<L>162084<pc>806,2<k1>mARa<k2>mARa<e>1 <s>mARa</s> ¦ <lex>m.</lex> a species of plant (= <s>mARaka</s>), <ls>L.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F10;F12;F13;F17,F01;F02;F04;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-008,correction_edge,10878,apvA,"59,3","<L>10878<pc>59,3<k1>apvA<k2>apvA/<e>1 <s>apvA/</s> ¦ (3; <s>a/pvA</s>, <ls>Naigh.</ls>) <lex>f.</lex> ‘Impurity’, <ab>N.</ab> of a deity presiding over evacuation from fright, <ls>RV. x, 103, 12</ls> (<ab>voc.</ab> <s...",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F08;F10;F12;F17,F01;F02;F04;F08;F10;F12;F17,,,"F08=yes [->B] a/pvA (Naigh.), voc. apve, acc. apvA/m - additional <s> span(s) are genuine inflected/conjugated forms of the headword"
G5-009,correction_edge,29662,izwvA,"169,3","<L>29662<pc>169,3<k1>izwvA<k2>izwvA<e>2 <s>izwvA</s> ¦ <ab>ind.p.</ab> having sacrificed or worshipped, <ls>AV.</ls> <info n=""rev"" pc=""1321,1""/> <LEND>",,F01;F02;F10;F12;F17,F01;F02;F10;F12;F17,F01;F02;F10;F12;F17,,,
G5-010,crossref_phw,159566.1,mahAcittva,"795,3","<L>159566.1<pc>795,3<k1>mahAcittva<k2>mahA—cit—tva<e>4 <s>mahA—cit—tva</s> ¦ <lex>n.</lex><info phwparent=""159566,mahAcit""/><info lex=""n""/> <LEND>",,F01;F02;F04;F10;F16;F17,F01;F02;F04;F10;F17,F01;F02;F04;F10;F17,,,F16=no [->B] only <info phwparent/phwchild=> machine relation present -> F17 per reviewer rule 3; no textual cross-ref marker (q.v./cf./id./See)
G5-011,botanical_bio,245453,sukumArA,"1220,2","<L>245453<pc>1220,2<k1>sukumArA<k2>su—kumArA<e>3B <s>su—kumArA</s> ¦ (<s>A</s>), <lex>f.</lex> <bot>Jasminum Sambac</bot> or <bot>Grandiflorum</bot>, <ls>L.</ls><info lex=""f""/> <LEND>",,F01;F02;F04;F10;F13;F14;F17,F01;F02;F04;F08;F10;F12;F13;F14;F17,F01;F02;F04;F08;F10;F13;F14;F17,,,"F08=yes [->B] (<s>A</s>) feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword | F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-012,hedge_ls,217269,Silamba,"1073,1","<L>217269<pc>1073,1<k1>Silamba<k2>Silamba<e>2 <s>Silamba</s> ¦ <lex>m.</lex> a sage, <ls>L.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F10;F12;F13;F17,F01;F02;F04;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-013,hedge_ls,115545,padmA,"584,2","<L>115545<pc>584,2<k1>padmA<k2>padmA<e>1B ¦ of a female serpent-demon (= the goddess <s1>Manasā</s1>, wife of the sage <s1>Jarat-kāru</s1>; <ab>cf.</ab> <s>padma-priyA</s>), <ls>L.</ls><info lex=""inh""/> <LEND>",,F01;F09;F10;F13;F15;F17,F01;F10;F12;F13;F15;F16;F17,F01;F10;F13;F15;F16;F17,,,"F09=no [->B] parenthetical identifies the referent (encyclopedic gloss); the cf. inside it is F16 | F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12') | F16=yes [->B] (cf. <s>padma-priyA</s>) textual cross-reference"
G5-014,botanical_bio,185165,vaYjula,"914,2","<L>185165<pc>914,2<k1>vaYjula<k2>vaYjula<e>1 <s>vaYjula</s> ¦ <lex>m.</lex> <ab>N.</ab> of various trees and other plants (<ab>accord.</ab> to <ls>L.</ls> <bot>Dalbergia Ougeinensis</bot>, <bot>Jonesia Asoka</bot>, <b...",,F01;F02;F04;F10;F12;F13;F14;F17,F01;F02;F04;F09;F10;F12;F13;F14;F17,F01;F02;F04;F09;F10;F12;F13;F14;F17,,,"F09=yes [->B] (accord. to L. ...) reports an attributed, uncertain identification - editorial commentary"
G5-015,kernel_common,101539,DUpita,"518,1","<L>101539<pc>518,1<k1>DUpita<k2>DUpita<e>3 <s>DU˚pita</s> ¦ <lex>mfn.</lex> incensed, perfumed, <ls>MBh.</ls>; <ls>R.</ls><info lex=""m:f:n""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-016,crossref_phw,198175,vibarha,"977,1","<L>198175<pc>977,1<k1>vibarha<k2>vi-barha<h>2<e>2 <hom>2.</hom> <s>vi-barha</s> ¦ <lex>m.</lex> (for <hom>1.</hom> See <pcol>p. 951, col. 2</pcol>) scattering, dispersing (in <s>a-v˚</s>), <ls>ŚāṅkhBr.</ls><info lex=""...",,F01;F02;F03;F04;F10;F12;F16;F17,F01;F02;F03;F04;F08;F10;F12;F16;F17,F01;F02;F03;F04;F08;F10;F12;F16;F17,,,"F08=yes [->B] (in <s>a-v0</s>) gives the attested compound shape of the lemma - borderline, ruled a form block"
G5-017,botanical_bio,179394,reRumat,"887,2","<L>179394<pc>887,2<k1>reRumat<k2>reRu—mat<e>3 <s>reRu—mat</s> ¦ <lex>m.</lex> <ab>N.</ab> of a son of <s1>Viśvāmitra</s1> by <s1>Reṇu</s1>, <ls>Hariv.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F12;F15;F17,F01;F02;F04;F10;F12;F15;F17,F01;F02;F04;F10;F12;F15;F17,,,
G5-018,random_residual,164693.2,mImAMsArTasaMgraha,"819,1","<L>164693.2<pc>819,1<k1>mImAMsArTasaMgraha<k2>mImAMsA—rTa—saMgraha<e>4 <s>mImA<srs/>MsA<srs/>—˚rTa—saMgraha</s> ¦ <lex>m.</lex> <ab>N.</ab> of <ab>wk.</ab><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F17,F01;F02;F04;F10;F17,F01;F02;F04;F10;F17,,,
G5-019,correction_edge,19441,aSizWa,"112,3","<L>19441<pc>112,3<k1>aSizWa<k2>a/-SizWa<e>2 <s>a/-SizWa</s> ¦ <lex>mfn.</lex> (<ab>superl.</ab>) ‘eating most’ (as an equivalent for <s>aSItama</s>), <ls>ŚBr.</ls> <info n=""rev"" pc=""1317,3""/><info lex=""m:f:n""/><info h...",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-020,botanical_bio,264842,hlAdinI,"1307,3","<L>264842<pc>1307,3<k1>hlAdinI<k2>hlAdinI<e>2B ¦ <s1>Indra</s1>'s thunderbolt, <ls>L.</ls><info lex=""inh""/> <LEND>",,F01;F10;F13;F15;F17,F01;F10;F12;F13;F15;F17,F01;F10;F13;F15;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-021,botanical_bio,101363,DIrozRin,"517,1","<L>101363<pc>517,1<k1>DIrozRin<k2>DIrozRin<e>3 <s>DIro<srs/>zRin</s> ¦ <lex>m.</lex> ‘brave and fiery’, <ab>N.</ab> of one of the <s1>Viśve</s1> <s1>Devā</s1>s, <ls>MBh.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F12;F15;F17,F01;F02;F04;F10;F12;F15;F17,F01;F02;F04;F10;F12;F15;F17,,,
G5-022,random_residual,55994,keSaveza,"310,2","<L>55994<pc>310,2<k1>keSaveza<k2>keSa—veza<e>3 <s>keSa—veza</s> ¦ <lex>m.</lex> (<ls>Pāṇ. iv, 1, 42</ls>) a tress of hair, <ls>ĀśvGṛ.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-023,root_verbal,214487,SaSIBU,"1060,2","<L>214487<pc>1060,2<k1>SaSIBU<k2>SaSI—BU<e>3 <s>SaSI—√ BU</s> ¦ <ab>P.</ab> <s>-Bavati</s>, to become a hare, <ls>Hariv.</ls><info verb=""gati"" cp=""P"" parse=""SaSI+BU""/> <LEND>",,F01;F02;F05;F06;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,,,F08=yes [->B] -Bavati: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-024,random_residual,214342,SaSaSimbikA,"1060,1","<L>214342<pc>1060,1<k1>SaSaSimbikA<k2>SaSa—SimbikA<e>3 <s>SaSa—SimbikA</s> ¦ <lex>f.</lex> a <ab>partic.</ab> plant, <ls>L.</ls><info lex=""f""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F10;F12;F13;F17,F01;F02;F04;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-025,botanical_bio,158306,marut,"790,2","<L>158306<pc>790,2<k1>marut<k2>maru/t<e>1A ¦ <ab>N.</ab> of a <s1>Sādhya</s1>, <ls>Hariv.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F15;F17,F01;F10;F12;F15;F17,F01;F10;F12;F15;F17,,,
G5-026,crossref_phw,144201.1,bahizpatnIsaMyAjatva,"727,1","<L>144201.1<pc>727,1<k1>bahizpatnIsaMyAjatva<k2>bahiz—patnI-saMyAja—tva<e>4 <s>bahiz—patnI-saMyAja—tva</s> ¦ <lex>n.</lex><info phwparent=""144201,bahizpatnIsaMyAja""/><info lex=""n""/> <LEND>",,F01;F02;F04;F10;F16;F17,F01;F02;F04;F10;F17,F01;F02;F04;F10;F17,,,F16=no [->B] only <info phwparent/phwchild=> machine relation present -> F17 per reviewer rule 3; no textual cross-ref marker (q.v./cf./id./See)
G5-027,random_residual,166220,mUtrapratiGAta,"825,3","<L>166220<pc>825,3<k1>mUtrapratiGAta<k2>mUtra—pratiGAta<e>3 <s>mUtra—pratiGAta</s> ¦ <lex>m.</lex> = <s>-niroDa</s>, <ls>Suśr.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-028,botanical_bio,15085,araRyadvAdaSI,"86,3","<L>15085<pc>86,3<k1>araRyadvAdaSI<k2>araRya—dvAdaSI<e>3 <s>araRya—dvAdaSI</s> ¦ <lex>f.</lex> the twelfth day of the month <s1>Mārgaśīrṣa</s1><info lex=""f""/> <LEND>",,F01;F02;F04;F10;F15;F17,F01;F02;F04;F10;F15;F17,F01;F02;F04;F10;F15;F17,,,
G5-029,continuation,257776,sva,"1275,1","<L>257776<pc>1275,1<k1>sva<k2>sva/<e>1B ¦ a man of one's own people or tribe, a kinsman, relative, relation, friend (<s>svAH</s>, ‘one's own relations’, ‘one's own people’), <ls>AV.</ls> &c. &c.<info lex=""inh""/> <LEND>",,F01;F10;F12;F17,F01;F08;F10;F12;F17,F01;F08;F10;F12;F17,,,F08=yes [->B] svAH nom. pl. quoted with its own gloss - additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-030,hedge_ls,222140,SyAmalikA,"1094,3","<L>222140<pc>1094,3<k1>SyAmalikA<k2>SyAmalikA<e>2B <s>SyAmalikA</s> ¦ (<s>ikA</s>), <lex>f.</lex> the indigo plant, <ls>L.</ls><info lex=""f""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F08;F10;F12;F13;F17,F01;F02;F04;F08;F10;F13;F17,,,"F08=yes [->B] (<s>ikA</s>) feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword | F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-031,kernel_common,70642,cakzaRa,"382,1","<L>70642<pc>382,1<k1>cakzaRa<k2>ca/kzaRa<e>2 <s>ca/kzaRa</s> ¦ <lex>n.</lex> appearing, appearance, aspect, <ls>RV.</ls>; <ls>AV.</ls><info lex=""n""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-032,random_residual,114256,paYjikA,"578,3","<L>114256<pc>578,3<k1>paYjikA<k2>paYjikA<e>2 <s>paYjikA</s> ¦ <lex>f.</lex> = <s>paYjI</s> or <s>paYji</s>, <ls>L.</ls><info lex=""f""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F10;F12;F13;F17,F01;F02;F04;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-033,crossref_phw,73483,cikitu,"395,2","<L>73483<pc>395,2<k1>cikitu<k2>cikitu/<e>2 <s>cikitu/</s> ¦ <lex>mfn.</lex> <ab>id.</ab>, <ls>RV. viii, 55, 5</ls> (<s>ci/kiti</s>, <ls>SV.</ls>)<info lex=""m:f:n""/> <LEND>",,F01;F02;F04;F10;F12;F16;F17,F01;F02;F04;F08;F10;F12;F16;F17,F01;F02;F04;F08;F10;F12;F16;F17,,,F08=yes [->B] ci/kiti is the SV variant form of the headword
G5-034,root_verbal,137874,prasAdIkf,"697,1","<L>137874<pc>697,1<k1>prasAdIkf<k2>pra-sAdI-kf<e>3 <s>pra-˚sAdI-√ kf</s> ¦ to bestow as a mark of favour, bestow graciously, present (with <ab>gen.</ab> of person), <ls>Pañcat.</ls>; <ls>Kād.</ls>; <ls>Rājat.</ls> &c....",,F01;F02;F05;F06;F10;F12;F17,F01;F02;F06;F10;F12;F17,F01;F02;F06;F10;F12;F17,,,"F05=no [->B] no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-035,hedge_ls,29313,iBamAcala,"167,3","<L>29313<pc>167,3<k1>iBamAcala<k2>iBa—m-Acala<e>3 <s>iBa—˚m-Acala</s> ¦ (<s>iBam-Acala</s>) <lex>m.</lex> a lion, <ls>L.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F08;F10;F12;F13;F17,F01;F02;F04;F08;F10;F13;F17,,,"F08=yes [->B] (iBam-Acala) sandhi-resolved full form of the headword - a form display | F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-036,kernel_common,202092,vizayEzin,"997,2","<L>202092<pc>997,2<k1>vizayEzin<k2>vizayEzin<e>3 <s>vizayE<srs/>zin</s> ¦ <lex>mfn.</lex> addicted to <ab n=""sensual"">s˚</ab> <ab n=""pleasures"">pl˚</ab>, devoted to worldly pursuits, <ls>L.</ls><info lex=""m:f:n""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F10;F12;F13;F17,F01;F02;F04;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-037,random_residual,7221,anuvAda,"38,2","<L>7221<pc>38,2<k1>anuvAda<k2>anu-vAda<e>2A ¦ confirmation, <ls>Nir.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F17,F01;F10;F12;F17,F01;F10;F12;F17,,,
G5-038,root_verbal,18415,avaspf,"106,1","<L>18415<pc>106,1<k1>avaspf<k2>ava-spf<e>1 <s>ava-√ spf</s> ¦ (<ab>aor.</ab> <ab>Subj.</ab> <s>-spa/rat</s>, 2. <ab>sg.</ab> <s>-spar</s>, <ab>Imper.</ab> 2. <ab>sg.</ab> <s>-spfDi</s> and 2. <ab>du.</ab> <s>-spftam</...",,F01;F02;F05;F06;F10;F12;F17,F01;F02;F06;F08;F10;F12;F17,F01;F02;F06;F08;F10;F12;F17,,,"F05=no [->B] aor./Subj./Imper. labels mark inflected FORMS (F08), not a conjugation class; no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3 | F08=yes [->B] -spa/rat, -spar, -spfDi, -spftam: additional <s> span(s) are genuine inflected/conjugated forms of the headword"
G5-039,kernel_common,8384,antyaka,"44,3","<L>8384<pc>44,3<k1>antyaka<k2>antyaka<e>2 <s>antyaka</s> ¦ <lex>m.</lex> a man of the lowest tribe, <ls>L.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F10;F12;F13;F17,F01;F02;F04;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-040,hedge_ls,9618,aparokzaya,"51,3","<L>9618<pc>51,3<k1>aparokzaya<k2>aparokzaya<e>2 <s>aparokzaya</s> ¦ <ab>Nom.</ab> <ab>P.</ab> <s>˚yati</s>, to make perceptible, <ls>L.</ls>; <div n=""to""/>to take a view of (<ab>acc.</ab>), <ls>MBh.</ls><info verb=""no...",,F01;F02;F05;F10;F12;F13;F17,F01;F02;F05;F08;F10;F12;F13;F17,F01;F02;F05;F08;F10;F12;F13;F17,,,F08=yes [->B] 0yati Nom. present: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-041,botanical_bio,2134,ajitavikrama,"10,2","<L>2134<pc>10,2<k1>ajitavikrama<k2>a-jita—vikrama<e>3 <s>a-jita—vikrama</s> ¦ <lex>m.</lex> ‘having invincible power’, <ab>N.</ab> of king <s1>Candragupta</s1> the second.<info lex=""m""/> <LEND>",,F01;F02;F04;F10;F15;F17,F01;F02;F04;F10;F15;F17,F01;F02;F04;F10;F15;F17,,,
G5-042,correction_edge,231161,sanizyada,"1141,3","<L>231161<pc>1141,3<k1>sanizyada<k2>sa—nizyada/<e>3 <s>sa—nizyada/</s> ¦ see <s>sanizyada/</s> under √ <s>syand</s>, <ab>p.</ab> 1273 <info n=""rev"" pc=""1332,3""/><info hui=""a""/> <LEND>",,F01;F02;F06;F10;F17,F01;F02;F06;F10;F16;F17,F01;F02;F06;F10;F16;F17,,,F16=yes [->B] 'see sanizyada/ under root syand' explicit see-reference
G5-043,continuation,93365,duHsADya,"483,1","<L>93365<pc>483,1<k1>duHsADya<k2>duH—sADya<e>3A ¦ difficult to be managed or dealt with, <ls>Pañc. i, 228/259</ls> difficult to be reconciled, <ls>Bhartṛ. i, 49</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F17,F01;F10;F12;F17,F01;F10;F12;F17,,,
G5-044,hedge_ls,185387,vatU,"915,3","<L>185387<pc>915,3<k1>vatU<k2>vatU<e>1B <s>vatU</s> ¦ <lex>m.</lex> (only <ls>L.</ls>) one who speaks the truth<info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F10;F12;F13;F17,F01;F02;F04;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-045,random_residual,72807,cAtaki,"392,1","<L>72807<pc>392,1<k1>cAtaki<k2>cAtaki<e>2 <s>cAtaki</s> ¦ <lex>m.</lex> <ab>N.</ab> of a man, <ls>MatsyaP. cxciv, 23.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-046,kernel_common,4241.1,aDigopam,"1310,2","<L>4241.1<pc>1310,2<k1>aDigopam<k2>aDigopam<e>1 <s>aDigopam</s> ¦ <lex>ind.</lex> on a cowherd, <ls>Laghuk. 970</ls>.<info n=""sup""/><info lex=""ind""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-047,continuation,18016,avalamba,"103,2","<L>18016<pc>103,2<k1>avalamba<k2>ava-lamba<e>2B ¦ depending, resting upon, <ls>L.</ls><info lex=""inh""/> <LEND>",,F01;F10;F13;F17,F01;F10;F12;F13;F17,F01;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-048,correction_edge,25395,Am,"146,1","<L>25395<pc>146,1<k1>Am<k2>A/m<e>1 <s>A/m</s> ¦ <lex>ind.</lex> an interjection of assent or recollection, <ls>MaitrS.</ls>; <ls>Mṛcch.</ls>; <ls>Śak.</ls>; <ls>Vikr.</ls> &c. <info n=""rev"" pc=""1319,3""/><info lex=""ind...",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
