sample_id,stratum,L,k1,pc,record_excerpt,detected_blocks,gold_blocks_A,gold_blocks_B,adjudicated_blocks,false_positive_blocks,false_negative_blocks,notes
G5-049,root_verbal,109365,nirIkz,"553,3","<L>109365<pc>553,3<k1>nirIkz<k2>nir-Ikz<e>1 <s>nir-√ Ikz</s> ¦ <ab>Ā.</ab> <s>-Ikzate</s> (<s>˚ti</s>), to look at or towards, behold, regard, observe (also the stars), perceive, <ls>Var.</ls>; <ls>MBh.</ls>; <ls>Kāv....",,F01;F02;F05;F06;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,,,F08=yes [->B] -Ikzate (0ti): additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-050,crossref_phw,195332,vijYeya,"961,2","<L>195332<pc>961,2<k1>vijYeya<k2>vi-jYe/ya<e>2A ¦ to be recognized or considered or regarded as (<s>-tva</s> <lex type=""phw"">n.</lex>), <ls>TPrāt.</ls>; <ls>Up.</ls>; <ls>MBh.</ls> &c.<info phwchild=""195332.1""/><info ...",,F01;F04;F10;F12;F16;F17,F01;F04;F10;F12;F17,F01;F04;F10;F12;F17,,,"F16=no [->B] inline (-X <lex type=""phw"">) is a sub-headword display, not a cross-reference; the phw graph attr is F17"
G5-051,kernel_common,207822,vESezika,"1026,2","<L>207822<pc>1026,2<k1>vESezika<k2>vESezika<e>1 <s>vESezika</s> ¦ <lex>mf(<s>I</s>)n.</lex> (<ab>fr.</ab> <s>vi-Seza</s>, <ab>p.</ab> 990) special, peculiar, specific, characteristic, <ls>Āpast.</ls>; <ls>Suśr.</ls>; ...",,F01;F02;F04;F09;F10;F12;F17,F01;F02;F04;F06;F08;F10;F12;F17,F01;F02;F04;F06;F08;F10;F12;F17,,,"F06=yes [->B] <ab>fr.</ab> vi-Seza is the paper's own listed F06 marker; Pass A's rule omitted fr. | F08=yes [->B] mf(<s>I</s>)n.: feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword | F09=no [->B] (fr. vi-Seza) is an etymology marker (F06), not commentary"
G5-052,random_residual,5475,anAcArin,"27,3","<L>5475<pc>27,3<k1>anAcArin<k2>anAcArin<e>2 <s>anAcArin</s> ¦ <lex>mfn.</lex> not acting properly.<info lex=""m:f:n""/> <LEND>",,F01;F02;F04;F10;F17,F01;F02;F04;F10;F17,F01;F02;F04;F10;F17,,,
G5-053,random_residual,242051,sAMnAyya,"1203,3","<L>242051<pc>1203,3<k1>sAMnAyya<k2>sAMnAyya/<e>1 <s>sAMnAyya/</s> ¦ <lex>n.</lex> (<ab>fr.</ab> <s>saM-√ nI</s>) any substance mixed with clarified butter &c. and offered as a burnt offering or oblation, (<ab>esp.</ab...",,F01;F02;F04;F06;F09;F10;F12;F15;F17,F01;F02;F04;F06;F09;F10;F12;F15;F17,F01;F02;F04;F06;F09;F10;F12;F15;F17,,,
G5-054,kernel_common,222530,SravaRavizayaprApin,"1096,3","<L>222530<pc>1096,3<k1>SravaRavizayaprApin<k2>SravaRa—vizaya—prApin<e>4 <s>SravaRa—vizaya—prA<srs/>pin</s> ¦ <lex>mfn.</lex> reaching the range of the ear, <ls>Ragh.</ls><info lex=""m:f:n""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-055,kernel_common,9759.2,apavipad,"1314,2","<L>9759.2<pc>1314,2<k1>apavipad<k2>apa-vipad<e>1 <s>apa-vipad</s> ¦ <lex>mfn.</lex> free from misfortune or calamity, <ls>Nalac.</ls><info n=""sup""/><info lex=""m:f:n""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-056,root_verbal,236841,samBaj,"1178,2","<L>236841<pc>1178,2<k1>samBaj<k2>sam-Baj<e>1 <s>sam-√ Baj</s> ¦ <ab>P.</ab> <ab>Ā.</ab> <s>-Bajati</s>, <s>˚te</s>, to distribute completely, share, bestow, grant, <ls>Sāy.</ls>; <div n=""to""/> (<ab>Ā.</ab>) to cause t...",,F01;F02;F05;F06;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,,,"F08=yes [->B] -Bajati, 0te: additional <s> span(s) are genuine inflected/conjugated forms of the headword"
G5-057,kernel_common,157559,manTadaRqa,"787,2","<L>157559<pc>787,2<k1>manTadaRqa<k2>manTa—daRqa<e>3 <s>manTa—daRqa</s> ¦ <lex>m.</lex> (<ls>Pañcar.</ls>) a <ab n=""churning"">ch˚</ab>-stick<info lex=""m""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-058,random_residual,201547.1,viSvAmitrakalpataru,"995,1","<L>201547.1<pc>995,1<k1>viSvAmitrakalpataru<k2>viSvA-mitra—kalpa-taru<e>3 <s>viSvA-mitra—kal˚pa-taru</s> ¦ <lex>m.</lex> <ab>N.</ab> of <ab>wk.</ab><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F17,F01;F02;F04;F10;F17,F01;F02;F04;F10;F17,,,
G5-059,botanical_bio,244647,sidDAntAcAra,"1216,2","<L>244647<pc>1216,2<k1>sidDAntAcAra<k2>sidDAntAcAra<e>3A ¦ one who practises this rule (said to consist in purity, quietism, and mental absorption in <s1>Durgā</s1>), <ls>ib.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F15;F17,F01;F09;F10;F12;F15;F17,F01;F09;F10;F12;F15;F17,,,F09=yes [->B] (said to consist in ...) hedged attributed description - editorial commentary
G5-060,continuation,1698.1,aNgirasvat,"8,2","<L>1698.1<pc>8,2<k1>aNgirasvat<k2>a/Ngiras—vat<e>3B <s>a/Ngiras—vat</s> ¦ <lex>mfn.</lex> connected with or accompanied by the <s1>Aṅgirasa</s1>s, <ls>RV.</ls>; <ls>VS.</ls><info lex=""m:f:n""/> <LEND>",,F01;F02;F04;F10;F12;F15;F17,F01;F02;F04;F10;F12;F15;F17,F01;F02;F04;F10;F12;F15;F17,,,
G5-061,root_verbal,9393,apamyakz,"50,2","<L>9393<pc>50,2<k1>apamyakz<k2>apa-myakz<e>1 <s>apa-√ myakz</s> ¦ (<ab>Imper.</ab> 2. <ab>sg.</ab> <s>-myakza</s>) to keep off from (<ab>abl.</ab>), <ls>RV. ii, 28, 6.</ls><info verb=""pre"" cp="""" parse=""apa+myakz""/> <L...",,F01;F02;F05;F06;F10;F12;F17,F01;F02;F06;F08;F10;F12;F17,F01;F02;F06;F08;F10;F12;F17,,,"F05=no [->B] Imper. 2 sg. labels an inflected form, not a class; no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3 | F08=yes [->B] -myakza Imper.: additional <s> span(s) are genuine inflected/conjugated forms of the headword"
G5-062,hedge_ls,110792,nizka,"562,2","<L>110792<pc>562,2<k1>nizka<k2>nizka/<e>2A ¦ a golden vessel, <ls>L.</ls><info lex=""inh""/> <LEND>",,F01;F10;F13;F17,F01;F10;F12;F13;F17,F01;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-063,root_verbal,204858,vfz,"1011,3","<L>204858<pc>1011,3<k1>vfz<k2>vfz<e>1 <s>vfz</s> ¦ <ab>cl.</ab> 1. <ab>P.</ab> (<ls>Dhātup. xvii, 56</ls>) <s>va/rzati</s> (<lang>ep.</lang> also <ab>Ā.</ab> <s>varzate</s> and <lang>Ved.</lang> <s>vfzate</s>; <ab>pf....",,F01;F02;F03;F05;F06;F07;F08;F09;F10;F12;F15;F17,F01;F02;F03;F05;F06;F07;F08;F09;F10;F12;F16;F17,F01;F02;F03;F05;F06;F07;F08;F09;F10;F12;F15;F16;F17,,,F15=yes [->A] <s1>Parjanya/Indra</s1> proper-name markup present; F15's formal marker is <bio>/<s1> - kept consistent with G5-084/138/143 (B's semantic narrowing rejected for marker consistency) | F16=yes [->B] [For cognates See under varzA and 1. vfza] + cf. - textual cross-references
G5-064,hedge_ls,59801,kzIrAhva,"330,1","<L>59801<pc>330,1<k1>kzIrAhva<k2>kzIrAhva<e>3 <s>kzIrA<srs/>hva</s> ¦ <lex>m.</lex> = <s>˚ra-SIrza</s>, <ls>L.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F10;F12;F13;F17,F01;F02;F04;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-065,botanical_bio,255769,sTirapuzpa,"1264,3","<L>255769<pc>1264,3<k1>sTirapuzpa<k2>sTira—puzpa<e>3 <s>sTira—puzpa</s> ¦ <lex>m.</lex> ‘having firm flowers’, <bot>Michelia Champaca</bot>, <ls>L.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F14;F17,F01;F02;F04;F10;F12;F13;F14;F17,F01;F02;F04;F10;F13;F14;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-066,kernel_common,18582,avAritadvAra,"107,2","<L>18582<pc>107,2<k1>avAritadvAra<k2>a-vArita—dvAra<e>3 <s>a-vArita—dvAra</s> ¦ <lex>mfn.</lex> having open doors, <ls>Naiṣ. iii, 41.</ls><info lex=""m:f:n""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-067,continuation,35311.2,upamAti,"203,3","<L>35311.2<pc>203,3<k1>upamAti<k2>u/pa-mAti<e>2B ¦ (<ls>BRD.</ls> derives both <hom>1.</hom> and <hom>2.</hom> <s>upa-mAti</s> <ab>fr.</ab> <s>upa-√ man</s>, ‘to address’.)<info lex=""inh""/> <LEND>",,F01;F03;F06;F09;F10;F12;F17,F01;F03;F06;F09;F10;F12;F17,F01;F03;F06;F09;F10;F12;F17,,,
G5-068,root_verbal,159137,masfRaya,"794,1","<L>159137<pc>794,1<k1>masfRaya<k2>masfRaya<e>2 <s>masfRaya</s> ¦ <ab>Nom.</ab> <ab>P.</ab> <s>˚yati</s>, to make soft or smooth, <ls>Hcar.</ls><info verb=""nom"" cp=""P""/> <LEND>",,F01;F02;F05;F10;F12;F17,F01;F02;F05;F08;F10;F12;F17,F01;F02;F05;F08;F10;F12;F17,,,F08=yes [->B] 0yati Nom. present: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-069,botanical_bio,202781,visarga,"1001,1","<L>202781<pc>1001,1<k1>visarga<k2>vi-sarga/<e>2A ¦ producing, creating (<ab>esp.</ab> secondary creation or creation in detail by <s1>Puruṣa</s1>; see under <s>sarga</s>), <ls>Bhag.</ls>; <ls>BhP.</ls><info lex=""inh""/...",,F01;F10;F12;F15;F17,F01;F10;F12;F15;F16;F17,F01;F10;F12;F15;F16;F17,,,F16=yes [->B] 'see under <s>sarga</s>' textual cross-reference
G5-070,botanical_bio,165431,muRqitikA,"822,1","<L>165431<pc>822,1<k1>muRqitikA<k2>muRqitikA<e>2 <s>muRqitikA</s> ¦ <lex>f.</lex> <bot>Sphaerantus Hirtus</bot>, <ls>L.</ls><info lex=""f""/> <LEND>",,F01;F02;F04;F10;F13;F14;F17,F01;F02;F04;F10;F12;F13;F14;F17,F01;F02;F04;F10;F13;F14;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-071,hedge_ls,201743,vizapucCa,"995,3","<L>201743<pc>995,3<k1>vizapucCa<k2>viza—pucCa<e>3 <s>viza—pucCa</s> ¦ <lex>mf(<s>I</s>)n.</lex> having a venomous tail, <ls>L.</ls><info lex=""m:f#I:n""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F08;F10;F12;F13;F17,F01;F02;F04;F08;F10;F13;F17,,,"F08=yes [->B] mf(<s>I</s>)n.: feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword | F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-072,continuation,110369,nivartana,"560,1","<L>110369<pc>560,1<k1>nivartana<k2>ni-va/rtana<e>3B ¦ reforming, repenting, <ls>W.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F17,F01;F10;F12;F17,F01;F10;F12;F17,,,
G5-073,random_residual,210329,vyUhIkf,"1041,1","<L>210329<pc>1041,1<k1>vyUhIkf<k2>vyUhI-kf<e>2 <s>vyUhI-√ kf</s> ¦ <ab>P.</ab> <s>-karoti</s>, to draw up in battle-array, <ls>Kām.</ls><info verb=""gati"" cp=""P"" parse=""vyUhI+kf""/> <LEND>",,F01;F02;F05;F06;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,,,F08=yes [->B] -karoti: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-074,root_verbal,110126,nirhan,"558,2","<L>110126<pc>558,2<k1>nirhan<k2>nir-han<e>1 <s>nir-√ han</s> ¦ <ab>P.</ab> <s>-hanti</s>, to strike off, expel, remove, strike or knock out (eye, tooth &c.), hew down, kill, destroy, <ls>RV.</ls> &c. &c.: <div n=""vp""/...",,F01;F02;F05;F06;F08;F09;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,,,"F09=no [->B] <div n=""vp""/> introduces the Caus./Desid./Intens. paradigm section - grammatical structure, not editorial commentary"
G5-075,continuation,252720,soma,"1249,3","<L>252720<pc>1249,3<k1>soma<k2>so/ma<e>1A ¦ Monday (= <s>soma-vAra</s>), <ls>Inscr.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F17,F01;F10;F12;F17,F01;F10;F12;F17,,,
G5-076,hedge_ls,105848,nAya,"536,3","<L>105848<pc>536,3<k1>nAya<k2>nAya/<e>1A ¦ guidance, direction, <ls>L.</ls><info lex=""inh""/> <LEND>",,F01;F10;F13;F17,F01;F10;F12;F13;F17,F01;F10;F13;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-077,continuation,104456,nalinI,"530,3","<L>104456<pc>530,3<k1>nalinI<k2>nalinI<e>2A ¦ of 2 rivers, <ls>VP.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F17,F01;F10;F12;F17,F01;F10;F12;F17,,,
G5-078,continuation,181834,lava,"898,2","<L>181834<pc>898,2<k1>lava<k2>la/va<e>1A ¦ anything cut off, a section, fragment, piece, particle, bit, little piece (<s>am</s> <lex type=""phw"">ind.</lex> a little; <s>lavam api</s>, even a little), <ls>MBh.</ls>; <ls...",,F01;F04;F09;F10;F12;F16;F17,F01;F04;F08;F10;F12;F16;F17,F01;F04;F08;F10;F12;F16;F17,,,"F08=yes [->B] (<s>am</s>) phw adverb form + lavam api inflected usage phrase | F09=no [->B] cf./see is a cross-reference marker (F16 per paper SS1), not editorial commentary"
G5-079,hedge_ls,96968,doDa,"498,2","<L>96968<pc>498,2<k1>doDa<k2>doDa<e>1 <s>doDa</s> ¦ <lex>m.</lex> (for <s>dogDf</s>?) a calf, <ls>L.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F17,F01;F02;F04;F09;F10;F12;F13;F17,F01;F02;F04;F09;F10;F13;F17,,,"F09=yes [->B] (for dogDf?) uncertain derivation flagged with a literal ? - editorial commentary | F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-080,kernel_common,141022,prekzitavya,"712,2","<L>141022<pc>712,2<k1>prekzitavya<k2>prekzitavya<e>3 <s>pre<srs/>kzitavya</s> ¦ <lex>mfn.</lex> to be seen or beheld, <ls>Ratnāv.</ls><info lex=""m:f:n""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-081,random_residual,227932,saMkawa,"1125,2","<L>227932<pc>1125,2<k1>saMkawa<k2>saM-kawa<e>1B ¦ of a man, <ls>Rājat.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F17,F01;F10;F12;F17,F01;F10;F12;F17,,,
G5-082,kernel_common,79783,jIvorRA,"423,1","<L>79783<pc>423,1<k1>jIvorRA<k2>jIvorRA<e>3 <s>jIvo<srs/>rRA</s> ¦ <lex>f.</lex> wool of a living animal, <ls>KātyŚr.</ls><info lex=""f""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-083,kernel_common,177343,rAmagovindatIrTa,"877,2","<L>177343<pc>877,2<k1>rAmagovindatIrTa<k2>rAma—govinda—tIrTa<e>4 <s>rAma—govinda—tIrTa</s> ¦ <lex>m.</lex> <ab>N.</ab> of a teacher, <ls>Cat.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-084,continuation,205678,vedacakzus,"1015,3","<L>205678<pc>1015,3<k1>vedacakzus<k2>veda—cakzus<e>3A ¦ the eye for seeing (or discerning the sense of) the <s1 n=""Veda"">V˚</s1>, <ls>Cat.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F17,F01;F10;F12;F15;F17,F01;F10;F12;F15;F17,,,"F15=yes [->B] <s1 n=""Veda"">V0</s1> proper-name marker; Pass A's regex missed the n= attribute form"
G5-085,botanical_bio,188320,vallaBAzwaka,"928,3","<L>188320<pc>928,3<k1>vallaBAzwaka<k2>vallaBAzwaka<e>3 <s>vallaBA<srs/>zwaka</s> ¦ <lex>n.</lex> <ab>N.</ab> of a <s1>Stotra</s1> (by <s1>Viṭṭhala-dīkṣita</s1>)<info lex=""n""/> <LEND>",,F01;F02;F04;F10;F15;F17,F01;F02;F04;F10;F15;F17,F01;F02;F04;F10;F15;F17,,,
G5-086,botanical_bio,243453,sAvitra,"1211,2","<L>243453<pc>1211,2<k1>sAvitra<k2>sAvitra/<e>1B ¦ <ab>N.</ab> of one of the peaks of <s1>Meru</s1>, <ls>VP.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F15;F17,F01;F10;F12;F15;F17,F01;F10;F12;F15;F17,,,
G5-087,random_residual,251171,sUtyA,"1241,3","<L>251171<pc>1241,3<k1>sUtyA<k2>sUtyA<e>2B <s>sUtyA</s> ¦ <lex>f.</lex> (<ab>cf.</ab> <hom>3.</hom> <s>sUta</s>) = <s>sutyA</s>, <ls>L.</ls><info lex=""f""/><info hui=""b""/> <LEND>",,F01;F02;F03;F04;F09;F10;F13;F17,F01;F02;F03;F04;F10;F12;F13;F16;F17,F01;F02;F03;F04;F10;F13;F16;F17,,,"F09=no [->B] cf./see is a cross-reference marker (F16 per paper SS1), not editorial commentary | F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12') | F16=yes [->B] (cf. 3. <s>sUta</s>) textual cross-reference"
G5-088,kernel_common,229933,satyaparAyaRatIrTa,"1136,1","<L>229933<pc>1136,1<k1>satyaparAyaRatIrTa<k2>satya—parAyaRa-tIrTa<e>3 <s>satya—parA<srs/>yaRa-tIrTa</s> ¦ <lex>m.</lex> <ab>N.</ab> of a man, <ls>ib.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-089,root_verbal,9481,aparaYj,"50,3","<L>9481<pc>50,3<k1>aparaYj<k2>apa-raYj<e>1 <s>apa-√ raYj</s> ¦ <s>-rajyate</s>, to become unfavourable to, <ls>MBh.</ls>; <ls>Kir. ii, 49.</ls><info verb=""pre"" cp="""" parse=""apa+raYj""/> <LEND>",,F01;F02;F05;F06;F10;F12;F17,F01;F02;F06;F08;F10;F12;F17,F01;F02;F06;F08;F10;F12;F17,,,"F05=no [->B] bare -rajyate form, no class marker at all; no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3 | F08=yes [->B] -rajyate: additional <s> span(s) are genuine inflected/conjugated forms of the headword"
G5-090,botanical_bio,173911,rajataprasTa,"863,1","<L>173911<pc>863,1<k1>rajataprasTa<k2>rajata—prasTa<e>3 <s>rajata—prasTa</s> ¦ <lex>m.</lex> <ab>N.</ab> of <s1>Kailāsa</s1>, <ls>L.</ls><info lex=""m""/> <LEND>",,F01;F02;F04;F10;F13;F15;F17,F01;F02;F04;F10;F12;F13;F15;F17,F01;F02;F04;F10;F13;F15;F17,,,"F12=no [->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-091,kernel_common,228041,saMkocin,"1126,1","<L>228041<pc>1126,1<k1>saMkocin<k2>saM-kocin<e>3 <s>saM-˚kocin</s> ¦ <lex>mfn.</lex> closing (as a flower), <ls>Rājat.</ls><info lex=""m:f:n""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-092,continuation,166539,mUlya,"827,1","<L>166539<pc>827,1<k1>mUlya<k2>mUlya<e>2B ¦ capital, stock, <ls>Kathās.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F17,F01;F10;F12;F17,F01;F10;F12;F17,,,
G5-093,kernel_common,133017,prativaktf,"670,1","<L>133017<pc>670,1<k1>prativaktf<k2>prati-vaktf<e>3 <s>prati-˚vaktf</s> ¦ <lex>mfn.</lex> answering to (<ab>gen.</ab>), explaining (the law), <ls>Baudh.</ls><info lex=""m:f:n""/> <LEND>",,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,F01;F02;F04;F10;F12;F17,,,
G5-094,botanical_bio,113744,paYcapAtra,"576,3","<L>113744<pc>576,3<k1>paYcapAtra<k2>paYca—pAtra<e>3 <s>paYca—pAtra</s> ¦ <lex>n.</lex> a <ab>partic.</ab> vessel for purifying water used at the <s1>Ācamana</s1> (<ab>q.v.</ab>), <ls>RTL. xxi</ls><info lex=""n""/> <LEND>",,F01;F02;F04;F10;F12;F15;F17,F01;F02;F04;F10;F12;F15;F16;F17,F01;F02;F04;F10;F12;F15;F16;F17,,,F16=yes [->B] (q.v.) after Acamana - listed F16 marker
G5-095,random_residual,236643,samprahas,"1176,3","<L>236643<pc>1176,3<k1>samprahas<k2>sam-pra-has<e>1 <s>sam-pra-√ has</s> ¦ <ab>P.</ab> <s>-hasati</s>, to laugh together, break into a laugh, <ls>MBh.</ls>; <ls>R.</ls>; <ls>BhP.</ls> : <div n=""vp""/><ab>Caus.</ab> <s>...",,F01;F02;F05;F06;F08;F09;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,F01;F02;F05;F06;F08;F10;F12;F17,,,"F09=no [->B] <div n=""vp""/> introduces the Caus./Desid./Intens. paradigm section - grammatical structure, not editorial commentary"
G5-096,continuation,228555,saMgUQa,"1128,3","<L>228555<pc>1128,3<k1>saMgUQa<k2>saM-gUQa<e>1A ¦ contracted, abridged, <ls>W.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F17,F01;F10;F12;F17,F01;F10;F12;F17,,,
G5-097,random_residual,154225,maNgalaviDi,"773,1","<L>154225<pc>773,1<k1>maNgalaviDi<k2>maNgala—viDi<e>3A ¦ preparations for a festival, <ls>Daś.</ls><info lex=""inh""/> <LEND>",,F01;F10;F12;F17,F01;F10;F12;F17,F01;F10;F12;F17,,,
G5-098,root_verbal,178856,rup,"884,3","<L>178856<pc>884,3<k1>rup<k2>rup<h>1<e>1 <hom>1.</hom> <s>rup</s> ¦ (<ab>cf.</ab> √ <s>lup</s>) <ab>cl.</ab> 4. <ab>P.</ab> (<ls>Dhātup. xxvi, 125</ls>) <s>ru/pyati</s> (<ab>pf.</ab> <s>ruropa</s> <ab>aor.</ab> <s>aru...",,F01;F02;F03;F05;F06;F08;F09;F10;F12;F17,F01;F02;F03;F05;F06;F08;F10;F12;F16;F17,F01;F02;F03;F05;F06;F08;F10;F12;F16;F17,,,"F09=no [->B] cf. root lup is F16; <div n=""vp""/> introduces the Caus./Desid./Intens. paradigm section - grammatical structure, not editorial commentary | F16=yes [->B] (cf. root <s>lup</s>) textual cross-reference"
